Experiment ID,Model,Epoch,Train Loss,Train Acc,Val Loss,Val Acc,Date/Time,Video Name,Comment
1,BPNN_v2,1,0.6224268674850464,0.8089670538902283,0.6536198258399963,0.7984543442726135,2023-04-12 15:51:24,animal3learnday11,"Turning-type labels, 20% val - 80% train"
1,BPNN_v2,2,0.5543646216392517,0.8146095871925354,0.5228579044342041,0.8076062798500061,2023-04-12 15:51:24,animal3learnday11,"Turning-type labels, 20% val - 80% train"
1,BPNN_v2,3,0.45721691846847534,0.83077472448349,0.4977108836174011,0.8220459818840027,2023-04-12 15:51:24,animal3learnday11,"Turning-type labels, 20% val - 80% train"
1,BPNN_v2,4,0.38155168294906616,0.8526331782341003,0.4819953739643097,0.8291641473770142,2023-04-12 15:51:24,animal3learnday11,"Turning-type labels, 20% val - 80% train"
1,BPNN_v2,5,0.32657569646835327,0.8729158043861389,0.4828598201274872,0.8340451717376709,2023-04-12 15:51:24,animal3learnday11,"Turning-type labels, 20% val - 80% train"
1,BPNN_v2,6,0.2702323794364929,0.8949267864227295,0.4968409538269043,0.838316023349762,2023-04-12 15:51:24,animal3learnday11,"Turning-type labels, 20% val - 80% train"
1,BPNN_v2,7,0.2165600061416626,0.9148027896881104,0.6507989168167114,0.82245272397995,2023-04-12 15:51:24,animal3learnday11,"Turning-type labels, 20% val - 80% train"
,,,,,,,,,
1,BPNN_v2,1,0.6304317116737366,0.8097804188728333,0.6400319337844849,0.7994711995124817,2023-04-12 16:10:16,animal3learnday11,"Turning-type labels, 20% val - 80% train"
1,BPNN_v2,2,0.5615739822387695,0.8121187686920166,0.5212059020996094,0.8057758808135986,2023-04-12 16:10:16,animal3learnday11,"Turning-type labels, 20% val - 80% train"
1,BPNN_v2,3,0.4541073143482208,0.8289446830749512,0.5144701600074768,0.8116737604141235,2023-04-12 16:10:16,animal3learnday11,"Turning-type labels, 20% val - 80% train"
1,BPNN_v2,4,0.3871002495288849,0.8531415462493896,0.5038290619850159,0.8230628371238708,2023-04-12 16:10:16,animal3learnday11,"Turning-type labels, 20% val - 80% train"
1,BPNN_v2,5,0.3360821306705475,0.8674766421318054,0.5049224495887756,0.8301810026168823,2023-04-12 16:10:16,animal3learnday11,"Turning-type labels, 20% val - 80% train"
1,BPNN_v2,6,0.25439196825027466,0.9004168510437012,0.5387502312660217,0.8157413005828857,2023-04-12 16:10:16,animal3learnday11,"Turning-type labels, 20% val - 80% train"
1,BPNN_v2,7,0.18843533098697662,0.9267486929893494,0.7000964283943176,0.8322147727012634,2023-04-12 16:10:16,animal3learnday11,"Turning-type labels, 20% val - 80% train"
,,,,,,,,,
